agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:gpt-5.5,win_streak,max-position,1.0,1.0,turnover_events,10,-0.06666666666666643,-0.1999999999999993,0.0,1.0,1.0,-0.31622776601683794
poe:gpt-5.5,win_streak,max-position,3.0,5.0,turnover_events,10,0.1,0.0,0.23333333333333356,0.5,0.9523809523809523,0.44447831849231606
poe:gpt-5.5,win_streak,none,1.0,1.0,turnover_events,10,-0.46666666666666623,-1.5666666666666667,0.6666666666666672,0.48046875,0.9523809523809523,-0.24561823501821045
poe:gpt-5.5,win_streak,none,3.0,5.0,turnover_events,10,-0.5666666666666661,-1.6333333333333333,0.5000000000000003,0.34765625,0.9523809523809523,-0.3114739777116148
deepseek:deepseek-v4-pro,win_streak,max-position,1.0,1.0,total_return,10,0.008769464583102822,-0.004387821227570112,0.024005653363788192,0.33203125,0.9523809523809523,0.3457880674774698
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,total_return,30,0.025970727442074414,0.012628590401167256,0.040721605630874964,0.0024987506246876563,0.079960019990005,0.6488688283238743
deepseek:deepseek-v4-pro,win_streak,none,1.0,1.0,total_return,10,-0.0016599032227093192,-0.011821686982843842,0.008439228187171813,0.73046875,0.9938524590163934,-0.09753796261511348
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,total_return,30,0.003223207617552935,-0.009230010669743986,0.015185798335510602,0.6091954022988506,0.9938524590163934,0.09284576182753149
glm:glm-5,win_streak,max-position,1.0,1.0,total_return,10,-9.974364346262144e-05,-0.001981810936626366,0.001785553321717273,0.71875,0.9938524590163934,-0.03168018625096806
glm:glm-5,win_streak,max-position,3.0,5.0,total_return,30,0.0022725074906098245,-0.000700262158333582,0.005562122288526653,0.1724137931034483,0.8333333333333334,0.25401885190371065
glm:glm-5,win_streak,none,1.0,1.0,total_return,10,0.00015229534431291937,-0.005969600279522519,0.005104942896983549,0.962890625,1.0,0.016398586615710958
glm:glm-5,win_streak,none,3.0,5.0,total_return,30,0.00024390303678987202,-0.0046098925268649145,0.0046844689002094216,0.9245377311344328,1.0,0.0182203301777111
poe:claude-opus-4.7,win_streak,max-position,1.0,1.0,total_return,10,0.0013981492197291307,-0.000805515975126736,0.0041251110106354655,0.3984375,0.9523809523809523,0.3382582475937592
poe:claude-opus-4.7,win_streak,max-position,3.0,5.0,total_return,30,0.0021378286318788327,0.0004622327973526417,0.003850372504921583,0.02148925537231384,0.3131767449608529,0.44535593554363695
poe:claude-opus-4.7,win_streak,none,1.0,1.0,total_return,10,-0.003424773011891141,-0.012006561296830188,0.004822236609929137,0.49609375,0.9523809523809523,-0.2272113295991758
