agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:claude-opus-4.7,fake_violations,none,0.75,0.75,hold_ratio,30,0.005787037037037036,0.0016203703703703723,0.010416666666666663,0.017991004497751123,0.16137385852528283,0.46245465376041006
poe:gemini-3.1-pro,fake_rejections,max-position,0.25,0.25,hold_ratio,10,0.004861111111111127,-0.025694444444444447,0.03333333333333337,0.7890625,1.0,0.09604171860723232
poe:gemini-3.1-pro,fake_rejections,max-position,0.75,0.75,hold_ratio,30,0.00694444444444445,-0.011342592592592567,0.02615740740740741,0.48375812093953025,0.8421052631578947,0.1309952797378955
poe:gemini-3.1-pro,fake_rejections,none,0.25,0.25,hold_ratio,10,0.0013888888888888868,-0.038194444444444454,0.037499999999999985,0.97265625,1.0,0.02146144575845223
poe:gemini-3.1-pro,fake_rejections,none,0.75,0.75,hold_ratio,30,0.07638888888888888,0.05833333333333333,0.09374999999999999,0.0004997501249375312,0.010661335998667332,1.5254255396193803
poe:gemini-3.1-pro,fake_violations,max-position,0.25,0.25,hold_ratio,10,0.03680555555555557,0.0111111111111111,0.06180555555555556,0.0234375,0.18,0.9058395429143641
poe:gemini-3.1-pro,fake_violations,max-position,0.75,0.75,hold_ratio,30,0.052083333333333336,0.031249999999999986,0.07407407407407408,0.0004997501249375312,0.010661335998667332,0.8611886138340477
poe:gemini-3.1-pro,fake_violations,none,0.25,0.25,hold_ratio,10,0.04444444444444441,0.016666666666666635,0.07708333333333331,0.025390625,0.18055555555555555,0.809615049984089
poe:gemini-3.1-pro,fake_violations,none,0.75,0.75,hold_ratio,30,0.11805555555555557,0.09861111111111112,0.13726851851851854,0.0004997501249375312,0.010661335998667332,2.168672989751076
poe:glm-5,fake_rejections,max-position,0.25,0.25,hold_ratio,5,-0.016666666666666663,-0.03611111111111112,-0.0027777777777777735,0.25,0.6575342465753424,-0.7302967433402209
poe:glm-5,fake_rejections,max-position,0.75,0.75,hold_ratio,5,0.0,-0.024999999999999994,0.024999999999999994,1.0,1.0,0.0
poe:glm-5,fake_rejections,none,0.25,0.25,hold_ratio,5,-0.008333333333333337,-0.01944444444444445,0.005555555555555536,0.5,0.8421052631578947,-0.5262348115842179
poe:glm-5,fake_rejections,none,0.75,0.75,hold_ratio,5,-0.01111111111111111,-0.03333333333333334,0.011111111111111117,0.75,0.9795918367346939,-0.3508232077228116
poe:glm-5,fake_violations,max-position,0.25,0.25,hold_ratio,5,0.011111111111111122,-0.008333333333333321,0.030555555555555565,0.5,0.8421052631578947,0.44721359549995837
poe:glm-5,fake_violations,max-position,0.75,0.75,hold_ratio,5,-0.005555555555555552,-0.01111111111111111,0.0,0.5,0.8421052631578947,-0.7302967433402214
poe:glm-5,fake_violations,none,0.25,0.25,hold_ratio,5,-0.005555555555555552,-0.016666666666666673,0.005555555555555564,0.75,0.9795918367346939,-0.35082320772281134
poe:glm-5,fake_violations,none,0.75,0.75,hold_ratio,5,0.036111111111111115,0.008333333333333337,0.06666666666666668,0.125,0.5,0.9623031732568869
poe:gpt-5.5,fake_rejections,max-position,0.25,0.25,hold_ratio,10,-0.0006944444444444448,-0.002083333333333334,0.0,1.0,1.0,-0.31622776601683794
poe:gpt-5.5,fake_rejections,max-position,0.75,0.75,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_rejections,none,0.25,0.25,hold_ratio,10,-0.0006944444444444448,-0.002083333333333334,0.0,1.0,1.0,-0.31622776601683794
poe:gpt-5.5,fake_rejections,none,0.75,0.75,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_violations,max-position,0.25,0.25,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_violations,max-position,0.75,0.75,hold_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
poe:gpt-5.5,fake_violations,none,0.25,0.25,hold_ratio,10,0.0013888888888888887,0.0,0.004166666666666667,1.0,1.0,0.31622776601683794
poe:gpt-5.5,fake_violations,none,0.75,0.75,hold_ratio,10,-0.0013888888888888896,-0.004861111111111113,0.0013888888888888896,0.75,0.9795918367346939,-0.253546276418555
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.25,0.25,turnover_events,10,2.1666666666666674,-2.233333333333333,6.033333333333333,0.33984375,0.7761627906976745,0.311036037892851
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,turnover_events,30,-1.022222222222222,-4.144444444444444,2.233333333333334,0.5362318840579711,0.8579710144927536,-0.11372324621715718
deepseek:deepseek-v4-pro,fake_rejections,none,0.25,0.25,turnover_events,10,0.09999999999999983,-1.0666666666666667,1.6666666666666656,0.9375,1.0,0.043498060754686006
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,turnover_events,30,-1.4000000000000001,-2.9888888888888894,0.1222222222222222,0.11244377811094453,0.5,-0.30545489365069
deepseek:deepseek-v4-pro,fake_violations,max-position,0.25,0.25,turnover_events,10,3.266666666666667,0.06666666666666839,6.733333333333334,0.123046875,0.5,0.5813410875887421
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,turnover_events,30,0.13333333333333375,-2.8111111111111104,3.1111111111111116,0.9370314842578711,1.0,0.015913229612582135
deepseek:deepseek-v4-pro,fake_violations,none,0.25,0.25,turnover_events,10,1.4666666666666666,-0.13333333333333286,3.4333333333333327,0.171875,0.6,0.4877527912407981
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,turnover_events,30,-3.0777777777777775,-5.222222222222222,-0.8555555555555562,0.012993503248375811,0.1247376311844078,-0.4911441756634209
