window,level,agent,seed,total_return,sharpe,execution_fill_rate,turnover_events
rates_drawdown_2022,E2_harsh_corner,signal-weighted,3,0.8366407611519535,10.438986999392215,0.5787292817679558,419
rates_drawdown_2022,E2_harsh_corner,naive-momentum,1,1.5625075235178385,16.32866567016567,0.5443548387096774,405
rates_drawdown_2022,E2_harsh_corner,naive-momentum,2,1.5912430478402304,14.507899539350744,0.5427461139896373,419
rates_drawdown_2022,E2_harsh_corner,naive-momentum,3,1.4980598189182928,14.679831503110456,0.5811320754716981,462
rates_drawdown_2022,E2_harsh_corner,mean-reversion,1,-0.3677767996490071,-8.948136256497001,0.5893617021276596,277
rates_drawdown_2022,E2_harsh_corner,mean-reversion,2,-0.2939745149086347,-6.216763170569803,0.5759493670886076,273
rates_drawdown_2022,E2_harsh_corner,mean-reversion,3,-0.25745285049478583,-4.483479581361398,0.5770833333333333,277
rates_drawdown_2022,E2_harsh_corner,risk-parity,1,0.23607890483029004,3.7809618050336433,0.5909090909090909,637
rates_drawdown_2022,E2_harsh_corner,risk-parity,2,0.35870661255809333,6.230986217287698,0.6029684601113172,650
rates_drawdown_2022,E2_harsh_corner,risk-parity,3,0.3717034950803215,5.403104203418578,0.5868152274837511,632
rates_drawdown_2022,E2_harsh_corner,minimum-variance,1,0.37579650213338645,7.296652553200025,0.6210428305400373,667
rates_drawdown_2022,E2_harsh_corner,minimum-variance,2,0.3928840422418911,7.6715485651420865,0.6169617893755824,662
rates_drawdown_2022,E2_harsh_corner,minimum-variance,3,0.46494085597817025,7.485657180757163,0.5757009345794393,616
rates_drawdown_2022,E2_harsh_corner,random,1,0.24914846178177008,4.406551582227431,0.581067472306143,577
rates_drawdown_2022,E2_harsh_corner,random,2,0.2918131584074448,5.748580004206127,0.6003976143141153,604
rates_drawdown_2022,E2_harsh_corner,random,3,0.39221645448361864,6.470189915624725,0.5761078998073218,598
recent_cross_asset,E0_ideal,buy-and-hold,1,0.5384810228720092,9.02494925923176,0.8916155419222904,872
recent_cross_asset,E0_ideal,buy-and-hold,2,0.6301541068674821,10.401246796473346,0.9237899073120495,897
recent_cross_asset,E0_ideal,buy-and-hold,3,0.6375303208823702,10.073300611108127,0.9005128205128206,878
recent_cross_asset,E0_ideal,signal-weighted,1,1.405621608962735,19.86039175968016,0.8686708860759493,549
recent_cross_asset,E0_ideal,signal-weighted,2,1.63444946004598,21.284720210855312,0.886094674556213,599
recent_cross_asset,E0_ideal,signal-weighted,3,1.4258348100876117,19.122637738711788,0.9073806078147613,627
recent_cross_asset,E0_ideal,naive-momentum,1,2.0534470891520016,24.505378915655367,0.9390070921985816,662
recent_cross_asset,E0_ideal,naive-momentum,2,2.289381041366845,26.16258166382683,0.9425444596443229,689
recent_cross_asset,E0_ideal,naive-momentum,3,2.125246469176689,23.35207736252009,0.943089430894309,696
recent_cross_asset,E0_ideal,mean-reversion,1,-0.3694014134620188,-10.600667931456826,0.9694835680751174,413
recent_cross_asset,E0_ideal,mean-reversion,2,-0.3324146361598753,-8.450718164372336,0.9387254901960784,383
