scenario,level,agent,agent_type,seed_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,fill_rate_mean,rank
jump_tail,E0_ideal,poe:claude-opus-4.7,llm,10,6.67503490366484,6.4825747761569605,2.8051051554471402,10.323053072045601,0.07622214728497188,1.0,10
jump_tail,E0_ideal,poe:gemini-3.1-pro,llm,10,6.958038954611075,5.412872800025264,3.6443926066037307,10.174367328702726,0.07926995956830492,1.0,7
jump_tail,E0_ideal,poe:glm-5,llm,10,6.323035195336435,6.904228993511637,2.1351681924479244,10.154784234962513,0.0705482047406266,1.0,11
jump_tail,E0_ideal,poe:gpt-5.5,llm,10,6.841075080791934,6.407487304273087,2.9472066779394956,10.44428470801591,0.0800843556203337,1.0,8
jump_tail,E0_ideal,random,classical,10,7.545933251061372,5.8447669446578,4.039910591367915,10.900291931706885,0.08394704710651406,1.0,5
jump_tail,E0_ideal,risk-parity,classical,10,8.650485601146883,8.261065326818915,4.179824014947502,13.782166570305165,0.10162609078047131,1.0,2
jump_tail,E0_ideal,signal-weighted,classical,10,7.13210797341672,2.2802588390574776,5.850024366865467,8.525408825395505,0.027930400732406647,1.0,6
jump_tail,E1_default_stress,buy-and-hold,classical,10,6.92047708306921,6.4210302880665715,3.5811924646531255,11.139180542094685,0.08695090764946378,0.85,4
jump_tail,E1_default_stress,deepseek:deepseek-v4-pro,llm,10,6.693084714356078,6.3990982968285905,3.4519532976484664,10.775668434651564,0.067862416008924,0.8374949958309091,5
jump_tail,E1_default_stress,mean-reversion,classical,10,0.7928304472608045,5.281849174553559,-2.2760305266934315,3.9172038797372446,-0.0031862610690801653,0.7067582417582418,12
jump_tail,E1_default_stress,minimum-variance,classical,10,7.345512860778247,6.99748077382029,3.3161855889085445,11.660507529400968,0.08630496048857661,0.8386904761904763,2
jump_tail,E1_default_stress,naive-momentum,classical,10,7.773446987554547,5.120879444249394,4.848921941810081,10.847416018193394,0.0829133012329871,0.8449884738584428,1
jump_tail,E1_default_stress,poe:claude-opus-4.7,llm,10,6.0090920208527505,5.2832092384164655,3.12695841951613,9.302655798628745,0.07476657393578326,0.8706754519989814,6
jump_tail,E1_default_stress,poe:gemini-3.1-pro,llm,10,4.2787796601773564,4.946382988022903,1.612963968811171,7.414124994435563,0.0574852934141171,0.8100517598343686,11
jump_tail,E1_default_stress,poe:glm-5,llm,10,5.110638072429147,3.593243725688308,2.949725054636072,7.1556903350155805,0.06579132915799642,0.8557791537667698,9
jump_tail,E1_default_stress,poe:gpt-5.5,llm,10,5.881686699334204,5.710278620960318,2.6890293105884373,9.317547752433516,0.0751841207191818,0.8577027796764639,7
jump_tail,E1_default_stress,random,classical,10,5.751328909786703,3.9554002592257587,3.3001874767959536,7.956871586722284,0.061590711929398044,0.7913372859025033,8
jump_tail,E1_default_stress,risk-parity,classical,10,7.134670147795428,6.616514234507655,3.613101730061897,11.340223704819772,0.08019761644540452,0.85,3
jump_tail,E1_default_stress,signal-weighted,classical,10,4.622249913747466,5.320682720728463,1.2162944380249539,7.603623932002323,0.016781804865422457,0.7696153846153846,10
jump_tail,E2_harsh_corner,buy-and-hold,classical,10,4.653832498287516,5.539838548729613,1.4045956388069587,7.864584395270464,0.06088283947278376,0.4958333333333333,3
jump_tail,E2_harsh_corner,deepseek:deepseek-v4-pro,llm,10,3.863352056500765,5.108368045767879,0.9022143536299518,6.915953178061625,0.04072397023034795,0.4914160263541068,8
jump_tail,E2_harsh_corner,mean-reversion,classical,10,2.6047675134849473,6.1260752452409735,-0.8342189903440393,6.220491352902584,0.035154173753068674,0.40835317460317466,11
jump_tail,E2_harsh_corner,minimum-variance,classical,10,4.810216120338685,5.288654239202715,1.8179055351688267,8.033907474443374,0.06986343210116029,0.4783643892339544,2
jump_tail,E2_harsh_corner,naive-momentum,classical,10,5.0668391236850026,3.965301791955264,2.7158731655856494,7.243098678748646,0.060830307087299015,0.4818897768897769,1
jump_tail,E2_harsh_corner,poe:claude-opus-4.7,llm,10,4.469434627233236,5.776213310294366,1.148395819396532,8.112400611299242,0.05213088267685344,0.5011380724538619,5
