kind,dose,decay,risk,seed,memory_driven_leverage_amplification,max_memory_driven_leverage_amplification,memory_pollution_ratio,total_return,max_drawdown
loss_streak,3.0,0.85,max-position,5,0.3277083333333334,0.6500000000000001,0.0,0.23928643242097425,-0.014406642275753612
loss_streak,3.0,0.85,max-position,6,0.30625,1.0,0.0,0.19464110283236224,-0.01708955327900885
loss_streak,3.0,0.85,max-position,7,0.30604166666666666,0.6500000000000001,0.0,0.18446119829948682,-0.014982146391749884
loss_streak,3.0,0.85,max-position,8,0.32375000000000004,1.0,0.0,0.20107331231220593,-0.014249655824773888
loss_streak,3.0,0.85,max-position,9,0.3075,1.0,0.0,0.254224636580171,-0.009316313864938919
loss_streak,3.0,0.85,max-position,10,0.2939583333333333,1.0,0.008333333333333333,0.1621894077387398,-0.020000462350243553
loss_streak,5.0,0.85,max-position,1,0.32375000000000004,1.0,0.0,0.1441824009643795,-0.02286243436014901
loss_streak,5.0,0.85,max-position,2,0.27895833333333336,0.6500000000000001,0.0,0.18300896434599,-0.02145829740067484
loss_streak,5.0,0.85,max-position,3,0.298125,1.0,0.0,0.21625013311364172,-0.013748069416759656
loss_streak,5.0,0.85,max-position,4,0.30895833333333333,1.0,0.0,0.210830692088662,-0.010316593079659486
loss_streak,5.0,0.85,max-position,5,0.3277083333333334,0.6500000000000001,0.0,0.23928643242097425,-0.014406642275753612
loss_streak,5.0,0.85,max-position,6,0.30625,1.0,0.0,0.19464110283236224,-0.01708955327900885
loss_streak,5.0,0.85,max-position,7,0.30604166666666666,0.6500000000000001,0.0,0.18446119829948682,-0.014982146391749884
loss_streak,5.0,0.85,max-position,8,0.32375000000000004,1.0,0.0,0.20107331231220593,-0.014249655824773888
loss_streak,5.0,0.85,max-position,9,0.3075,1.0,0.0,0.254224636580171,-0.009316313864938919
loss_streak,5.0,0.85,max-position,10,0.2939583333333333,1.0,0.008333333333333333,0.1621894077387398,-0.020000462350243553
fake_rejections,0.0,0.85,none,1,0.5078333333333334,1.08,0.0,0.24975293654439845,-0.02449050067879277
fake_rejections,0.0,0.85,none,2,0.44383333333333336,1.08,0.0,0.3086577986870578,-0.03304324190112573
fake_rejections,0.0,0.85,none,3,0.460625,1.08,0.0,0.34630079048519713,-0.023076321793892962
fake_rejections,0.0,0.85,none,4,0.48516666666666663,1.08,0.0,0.34263010112652403,-0.012068395324550507
