kind,decay,risk,dose,outcome,paired_n,mean_delta_vs_dose0,delta_ci_low,delta_ci_high,permutation_p_value,q_value,cohens_d
fake_rejections,1.0,none,0.5,max_memory_driven_leverage_amplification,10,-0.14000000000000004,-0.19999999999999998,-0.08000000000000007,0.001953125,0.002999680034129693,-1.4491376746189453
fake_rejections,1.0,none,0.5,memory_pollution_ratio,10,0.39722222222222225,0.39722222222222225,0.39722222222222225,0.001953125,0.002999680034129693,
fake_rejections,1.0,none,0.5,total_return,10,-0.0362083454218215,-0.04830556061217388,-0.0230032620959155,0.001953125,0.002999680034129693,-1.6317547378767914
fake_rejections,1.0,none,0.5,max_drawdown,10,0.004257252171688153,0.0005460554692515496,0.00727034414592842,0.046875,0.06315494011976049,0.7516813509354942
fake_rejections,1.0,none,0.75,memory_driven_leverage_amplification,10,-0.29870416666666666,-0.30869583333333334,-0.28936666666666666,0.001953125,0.002999680034129693,-18.19233339017336
fake_rejections,1.0,none,0.75,max_memory_driven_leverage_amplification,10,-0.263,-0.446,-0.08000000000000007,0.001953125,0.002999680034129693,-0.8925602070837995
fake_rejections,1.0,none,0.75,memory_pollution_ratio,10,0.7868055555555556,0.7868055555555556,0.7868055555555556,0.001953125,0.002999680034129693,
fake_rejections,1.0,none,0.75,total_return,10,-0.1784822103629686,-0.1956806870435313,-0.16148327558845876,0.001953125,0.002999680034129693,-6.1417918658871296
fake_rejections,1.0,none,0.75,max_drawdown,10,0.01504960988657581,0.011089128520952585,0.01946999962114627,0.001953125,0.002999680034129693,2.1458525949414735
fake_violations,0.6,max-position,0.1,memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,max-position,0.1,max_memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,max-position,0.1,memory_pollution_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,max-position,0.1,total_return,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,max-position,0.1,max_drawdown,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,max-position,0.25,memory_driven_leverage_amplification,10,-0.20605245055517002,-0.2151225899259773,-0.1963348716169327,0.001953125,0.002999680034129693,-13.130759079526703
fake_violations,0.6,max-position,0.25,max_memory_driven_leverage_amplification,10,-0.1904805690492714,-0.30096113809854275,-0.08000000000000007,0.001953125,0.002999680034129693,-1.0707735613634777
fake_violations,0.6,max-position,0.25,memory_pollution_ratio,10,0.1932053323584812,0.183325546474662,0.20358955032394635,0.001953125,0.002999680034129693,11.047352951803415
fake_violations,0.6,max-position,0.25,total_return,10,-0.039965185907022985,-0.05005874526603955,-0.02969001039836581,0.001953125,0.002999680034129693,-2.3502454968826
fake_violations,0.6,max-position,0.25,max_drawdown,10,0.0057059289432878305,0.0040615910649614674,0.007143560307667085,0.001953125,0.002999680034129693,2.175827387995892
fake_violations,0.6,max-position,0.5,memory_driven_leverage_amplification,10,-0.23627028972935463,-0.24649986409900534,-0.22563422391857507,0.001953125,0.002999680034129693,-13.69095999295491
fake_violations,0.6,max-position,0.5,max_memory_driven_leverage_amplification,10,-0.19961485079805694,-0.3192297015961138,-0.08000000000000007,0.001953125,0.002999680034129693,-1.0364315089219298
fake_violations,0.6,max-position,0.5,memory_pollution_ratio,10,0.39404271094280874,0.3826806559716183,0.40535196000676466,0.001953125,0.002999680034129693,20.249517523236648
fake_violations,0.6,max-position,0.5,total_return,10,-0.050567542870292616,-0.06119332759291272,-0.03911160112865275,0.001953125,0.002999680034129693,-2.7506971770732673
fake_violations,0.6,max-position,0.5,max_drawdown,10,0.00738859425083942,0.0051462878352551145,0.009342210627999715,0.001953125,0.002999680034129693,2.0777353943961367
fake_violations,0.6,max-position,0.75,memory_driven_leverage_amplification,10,-0.2977398710386306,-0.308702648623641,-0.28578976405274115,0.001953125,0.002999680034129693,-15.524584899332142
fake_violations,0.6,max-position,0.75,max_memory_driven_leverage_amplification,10,-0.24021165857043725,-0.4004233171408744,-0.08000000000000007,0.001953125,0.002999680034129693,-0.931178258872949
fake_violations,0.6,max-position,0.75,memory_pollution_ratio,10,0.7844074877522139,0.7744026364015418,0.7927100775251114,0.001953125,0.002999680034129693,51.7239393431348
fake_violations,0.6,max-position,0.75,total_return,10,-0.09634454495213722,-0.11244408635038379,-0.08068759873907058,0.001953125,0.002999680034129693,-3.657876204990083
fake_violations,0.6,max-position,0.75,max_drawdown,10,0.008135572121551849,0.005700146725953736,0.010336406945025255,0.001953125,0.002999680034129693,2.0327891212285767
fake_violations,0.6,none,0.1,memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,none,0.1,max_memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,none,0.1,memory_pollution_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,none,0.1,total_return,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,none,0.1,max_drawdown,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_violations,0.6,none,0.25,memory_driven_leverage_amplification,10,-0.20699411722183667,-0.2155264385264862,-0.1988521845362017,0.001953125,0.002999680034129693,-14.474025162963626
fake_violations,0.6,none,0.25,max_memory_driven_leverage_amplification,10,-0.1904805690492714,-0.30096113809854275,-0.08000000000000007,0.001953125,0.002999680034129693,-1.0707735613634777
fake_violations,0.6,none,0.25,memory_pollution_ratio,10,0.1932053323584812,0.183325546474662,0.20358955032394635,0.001953125,0.002999680034129693,11.047352951803415
fake_violations,0.6,none,0.25,total_return,10,-0.10475320944648328,-0.12037501492317489,-0.08794643732348358,0.001953125,0.002999680034129693,-3.736067381558989
fake_violations,0.6,none,0.25,max_drawdown,10,0.00949947750684843,0.005407325460644208,0.013615361208497156,0.00390625,0.005839908637873754,1.3710080693155267
fake_violations,0.6,none,0.5,memory_driven_leverage_amplification,10,-0.23732472530650012,-0.24698934767522554,-0.2284428232708767,0.001953125,0.002999680034129693,-15.04474329792371
fake_violations,0.6,none,0.5,max_memory_driven_leverage_amplification,10,-0.19961485079805694,-0.3192297015961138,-0.08000000000000007,0.001953125,0.002999680034129693,-1.0364315089219298
fake_violations,0.6,none,0.5,memory_pollution_ratio,10,0.39438969220582054,0.38325387328769117,0.40548136317330535,0.001953125,0.002999680034129693,20.74841267911936
fake_violations,0.6,none,0.5,total_return,10,-0.1260618295877165,-0.1425768490819059,-0.10877423852131873,0.001953125,0.002999680034129693,-4.378639452685371
fake_violations,0.6,none,0.5,max_drawdown,10,0.01256692317667033,0.008356704996680142,0.017179416783660507,0.001953125,0.002999680034129693,1.6820865081723717
