scenario,level,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost
calm,E0_ideal,mean-reversion,6,-0.23466483287736006,-7.223677889507222,-0.24157434937255917,1.0,98.94314923287342
calm,E0_ideal,mean-reversion,7,-0.20564180231138163,-7.04248885043037,-0.21367557369916845,1.0,133.99874672316014
calm,E0_ideal,mean-reversion,8,-0.19277342125056962,-6.056149323701247,-0.2094511291392419,1.0,178.79305142473243
calm,E0_ideal,mean-reversion,9,-0.1675430411467378,-5.63780830194423,-0.18776912963477,1.0,209.7930150212149
calm,E0_ideal,mean-reversion,10,-0.1806186431677692,-5.355143993493072,-0.19947034492921412,1.0,166.122526079258
calm,E0_ideal,risk-parity,1,0.14446865453057423,2.3694977573864056,-0.19714380682700583,1.0,38.311454825169406
calm,E0_ideal,risk-parity,2,0.11930968141767395,1.82601940995238,-0.18401443483356694,1.0,33.37952690475753
calm,E0_ideal,risk-parity,3,0.11697426385683385,1.8822341116345438,-0.1919308975511569,1.0,43.83082246184949
calm,E0_ideal,risk-parity,4,0.10567416114330963,1.6642544542272015,-0.21024283208920302,1.0,33.24202144965285
calm,E0_ideal,risk-parity,5,0.18507753785953018,2.9403115386649206,-0.18374943904006324,1.0,33.726741563312295
calm,E0_ideal,risk-parity,6,0.10884465561771073,1.6781908455156065,-0.20630495003916394,1.0,29.07037558967743
calm,E0_ideal,risk-parity,7,0.12146519832097802,2.1059863210714003,-0.17494891315161265,1.0,37.351519389500794
calm,E0_ideal,risk-parity,8,0.10005477456765832,1.702531785996754,-0.21153140386437053,1.0,40.77597420741763
calm,E0_ideal,risk-parity,9,0.2179997037521615,3.4124502674131048,-0.20129992242524475,1.0,44.527987468113906
calm,E0_ideal,risk-parity,10,0.14140292423885215,2.2067891760726877,-0.19026324620964596,1.0,40.00526341209208
calm,E0_ideal,minimum-variance,1,0.14849139447776905,2.420327894519391,-0.19714380682700572,1.0,25.263315947550627
calm,E0_ideal,minimum-variance,2,0.11893050971156471,1.8170891566875138,-0.1849251242719997,1.0,27.898845331848605
calm,E0_ideal,minimum-variance,3,0.12185756808164872,1.925350375590701,-0.1940604190861449,1.0,27.102961500516074
calm,E0_ideal,minimum-variance,4,0.1036962195116824,1.6308471993661555,-0.2118773560707784,1.0,27.41696252478329
calm,E0_ideal,minimum-variance,5,0.18837797453097083,2.978272014218046,-0.18387568269718657,1.0,26.51707767764012
calm,E0_ideal,minimum-variance,6,0.10896949214643836,1.678605807363052,-0.20630495003916383,1.0,32.49216310446408
calm,E0_ideal,minimum-variance,7,0.13019421935122644,2.225455411723375,-0.17494891315161265,1.0,27.50561019976564
calm,E0_ideal,minimum-variance,8,0.09854190635816673,1.6674673978618748,-0.21396282505856312,1.0,25.797316485257262
calm,E0_ideal,minimum-variance,9,0.2231723695549217,3.473677093335311,-0.20129992242524453,1.0,27.49322021193508
calm,E0_ideal,minimum-variance,10,0.15002600387749498,2.2998546745763946,-0.19043492920289207,1.0,27.204487306403564
calm,E0_ideal,random,1,0.12450581560936969,2.4788853553906427,-0.1538007939387861,1.0,773.3487071401998
calm,E0_ideal,random,2,0.09727094826197447,1.8235748417406663,-0.13931018038015586,1.0,721.073910984201
calm,E0_ideal,random,3,0.1458662307541856,2.8552903459855674,-0.12463690925549031,1.0,666.6409804258257
calm,E0_ideal,random,4,0.06673204529656163,1.230190983650267,-0.17994208692579927,1.0,829.1018013179065
