timestamp,symbol,bid,ask,bid_qty,ask_qty,transaction_time,event_time,update_id
2024-03-01T00:09:13.752000Z,BTCUSDT,61399.90000000,61400.00000000,6.09200000,4.72000000,2024-03-01T00:09:13.752000Z,2024-03-01T00:09:13.760000Z,4070972800048
2024-03-01T00:09:14.835000Z,BTCUSDT,61399.90000000,61400.00000000,6.14000000,3.76600000,2024-03-01T00:09:14.835000Z,2024-03-01T00:09:14.840000Z,4070972874783
2024-03-01T00:09:15.887000Z,BTCUSDT,61399.90000000,61400.00000000,6.10400000,2.51800000,2024-03-01T00:09:15.887000Z,2024-03-01T00:09:15.893000Z,4070972940483
2024-03-01T00:09:16.955000Z,BTCUSDT,61399.90000000,61400.00000000,7.01200000,0.68600000,2024-03-01T00:09:16.955000Z,2024-03-01T00:09:16.960000Z,4070973018141
2024-03-01T00:09:17.971000Z,BTCUSDT,61399.90000000,61400.00000000,4.68300000,11.17500000,2024-03-01T00:09:17.971000Z,2024-03-01T00:09:17.974000Z,4070973099512
2024-03-01T00:09:18.974000Z,BTCUSDT,61390.60000000,61390.70000000,0.01400000,8.09300000,2024-03-01T00:09:18.974000Z,2024-03-01T00:09:18.980000Z,4070973239339
2024-03-01T00:09:19.984000Z,BTCUSDT,61386.30000000,61386.40000000,7.08000000,0.27600000,2024-03-01T00:09:19.984000Z,2024-03-01T00:09:19.990000Z,4070973356403
2024-03-01T00:09:20.995000Z,BTCUSDT,61386.30000000,61386.40000000,5.66400000,0.13200000,2024-03-01T00:09:20.995000Z,2024-03-01T00:09:21.001000Z,4070973434384
2024-03-01T00:09:21.995000Z,BTCUSDT,61397.30000000,61397.40000000,3.39800000,3.46500000,2024-03-01T00:09:21.995000Z,2024-03-01T00:09:22.001000Z,4070973506629
2024-03-01T00:09:23.018000Z,BTCUSDT,61397.30000000,61397.40000000,4.45200000,3.15000000,2024-03-01T00:09:23.018000Z,2024-03-01T00:09:23.024000Z,4070973575237
2024-03-01T00:09:24.034000Z,BTCUSDT,61397.30000000,61397.40000000,0.42300000,4.79100000,2024-03-01T00:09:24.034000Z,2024-03-01T00:09:24.040000Z,4070973649381
2024-03-01T00:09:25.115000Z,BTCUSDT,61397.30000000,61397.40000000,0.45400000,4.77600000,2024-03-01T00:09:25.115000Z,2024-03-01T00:09:25.120000Z,4070973732754
2024-03-01T00:09:26.122000Z,BTCUSDT,61397.30000000,61397.40000000,3.67700000,2.39300000,2024-03-01T00:09:26.122000Z,2024-03-01T00:09:26.128000Z,4070973803590
