frequency,sessions_per_week,decision_interval_minutes,n_symbols,approval_latency_minutes,review_base_minutes,review_minutes_per_order,expiry_minutes,weekly_budget_minutes,chain_compute_p95_ms,attention_minutes_per_session,effective_latency_minutes,session_wall_minutes,weekly_attention_minutes,expiry_ok,backlog_ok,budget_ok,feasible,binding_constraints,session_of_first_expiry,auto_approval_fraction_for_budget
weekly,1.0,10080.0,38,60.0,2.0,0.2,1440.0,60.0,156.514,9.6,60.0,60.002609,9.6,True,True,True,True,,,0.0
weekly,1.0,10080.0,39,1.0,2.0,0.2,1440.0,60.0,156.4029,9.8,9.8,9.802607,9.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,39,5.0,2.0,0.2,1440.0,60.0,156.4029,9.8,9.8,9.802607,9.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,39,15.0,2.0,0.2,1440.0,60.0,156.4029,9.8,15.0,15.002607,9.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,39,60.0,2.0,0.2,1440.0,60.0,156.4029,9.8,60.0,60.002607,9.8,True,True,True,True,,,0.0
weekly,1.0,10080.0,40,1.0,2.0,0.2,1440.0,60.0,156.2918,10.0,10.0,10.002605,10.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,40,5.0,2.0,0.2,1440.0,60.0,156.2918,10.0,10.0,10.002605,10.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,40,15.0,2.0,0.2,1440.0,60.0,156.2918,10.0,15.0,15.002605,10.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,40,60.0,2.0,0.2,1440.0,60.0,156.2918,10.0,60.0,60.002605,10.0,True,True,True,True,,,0.0
weekly,1.0,10080.0,41,1.0,2.0,0.2,1440.0,60.0,156.1807,10.2,10.2,10.202603,10.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,41,5.0,2.0,0.2,1440.0,60.0,156.1807,10.2,10.2,10.202603,10.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,41,15.0,2.0,0.2,1440.0,60.0,156.1807,10.2,15.0,15.002603,10.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,41,60.0,2.0,0.2,1440.0,60.0,156.1807,10.2,60.0,60.002603,10.2,True,True,True,True,,,0.0
weekly,1.0,10080.0,42,1.0,2.0,0.2,1440.0,60.0,156.0696,10.4,10.4,10.402601,10.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,42,5.0,2.0,0.2,1440.0,60.0,156.0696,10.4,10.4,10.402601,10.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,42,15.0,2.0,0.2,1440.0,60.0,156.0696,10.4,15.0,15.002601,10.4,True,True,True,True,,,0.0
weekly,1.0,10080.0,42,60.0,2.0,0.2,1440.0,60.0,156.0696,10.4,60.0,60.002601,10.4,True,True,True,True,,,0.0
