model_id,scenario_id,metric,estimand,estimate,base_pairs,seed_clusters
glm-5,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X1,0.014580466238999999,30,10
glm-5,synthetic_jump_tail_c0_v0_3,total_return,interaction,0.022529293400766665,30,10
glm-5,synthetic_jump_tail_c0_v0_3,total_return,execution_shapley,-0.037206692114716666,30,10
glm-5,synthetic_jump_tail_c0_v0_3,total_return,response_origin_shapley,0.003315819538616667,30,10
glm-5,synthetic_jump_tail_c0_v0_3,total_return,observed_diagonal,-0.0338908725761,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I0,-2.5345651426104,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I1,-1.3039560809667001,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X0,0.3083336423882668,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X1,1.5389427040319668,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,interaction,1.2306090616437,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,execution_shapley,-1.9192606117885502,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_shapley,0.9236381732101168,30,10
glm-5,synthetic_jump_tail_c0_v0_3,sharpe,observed_diagonal,-0.9956224385784334,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,execution_within_I0,-0.007973302781000002,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,execution_within_I1,-0.0011146688931333317,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X0,-0.007044833542700003,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X1,-0.00018619965483333256,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,interaction,0.006858633887866671,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,execution_shapley,-0.004543985837066666,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,response_origin_shapley,-0.003615516598766669,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,total_return,observed_diagonal,-0.008159502435833335,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I0,-8.987286160150733,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I1,-1.3223132572542002,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X0,-1.5110816263676665,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X1,6.153891276528866,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,interaction,7.664972902896533,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,execution_shapley,-5.154799708702467,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_shapley,2.3214048250806,30,10
glm-5-turbo,synthetic_calm_trend_c0_v0_3,sharpe,observed_diagonal,-2.8333948836218665,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I0,-0.0099727218096,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I1,-0.004356749522999998,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X0,-0.008800033088199998,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X1,-0.0031840608015999976,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,interaction,0.005615972286600002,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,execution_shapley,-0.0071647356663,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,response_origin_shapley,-0.005992046944899998,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,total_return,observed_diagonal,-0.0131567826112,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I0,-3.5422866070038332,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I1,-0.7298904168102667,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X0,-0.32459163671850005,30,10
glm-5-turbo,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X1,2.487804553475067,30,10
